CPU name,CPU Weight,CPU TDP,CPU Base Clock,CPU Boost Clock,CPU Core Count,CPU Thread Count,Release Year
Intel Core i3-2120,1.00083,65,3.3,N/A,2,4,2011
Intel Xeon CPU E5-2630 v4,2.19825,85,2.2,N/A,10,20,2016
Intel Core i7-2600,2.36771,95,3.4,N/A,4,8,2011
Intel Xeon CPU E5-2670,2.69358,115,2.6,N/A,8,16,2012
Intel Core i7-3770K,2.76851,77,3.5,3.9,4,8,2012
Intel Xeon CPU E3-1270 v3 @ 3.50GHz,2.81442,80,3.5,N/A,4,8,2013
Intel Xeon CPU E5-2678 v3,2.8973,120,2.5,N/A,12,24,2014
Intel Xeon CPU E5-2670 0 @ 2.60GHz,2.8973,115,2.6,N/A,8,16,2012
Intel Xeon CPU E5-2678 v3 @ 2.50GHz,2.8973,120,2.5,N/A,12,24,2014
Intel Core i7-8550U,2.89825,15,1.8,4,4,8,2017
Intel Xeon CPU E5-2630 v2,3,80,2.6,N/A,6,12,2012
Intel Xeon CPU E5-2640 v4,3.41477,90,2.4,N/A,10,20,2016
Intel Xeon CPU E5-2630 v4 @ 2.20GHz,3.41477,85,2.2,N/A,10,20,2016
Intel Core i7-3930K,3.48894,130,3.2,3.8,6,12,2011
Genuine Intel CPU 0000 @ 2.40GHz,4,125,2.4,N/A,8,16,2018
AMD Ryzen 7 1700,4.03254,65,3,3.7,8,16,2017
Intel Core i7-4930K,4.15789,130,3.4,3.9,6,12,2013
Intel Xeon CPU E5-2643,4.27315,130,3.3,N/A,4,8,2012
Intel Xeon W-2223,4.30315,120,3.6,N/A,4,8,2019
Intel Xeon CPU E5-2660,4.68783,95,2.2,N/A,8,16,2012
Intel Xeon CPU E5-2643 0 @ 3.30GHz,4.68783,130,3.3,N/A,4,8,2012
Intel Core i7-5820K,4.91893,140,3.3,3.6,6,12,2014
Intel Xeon Silver 4210,5,85,2.2,N/A,10,20,2019
AMD Ryzen Threadripper 1900X,5.03735,180,3.8,4,8,16,2017
Intel Xeon CPU E5-2690 v2,5.55762,130,3,N/A,10,20,2013
Intel Xeon CPU E5-2690 v2 @ 3.00GHz,5.55762,130,3,N/A,10,20,2013
AMD Ryzen Threadripper 1920X,5.57017,180,3.5,4,12,24,2017
AMD Ryzen Threadripper 1920X 12-Core Processor,5.57017,180,3.5,4,12,24,2017
Intel Core i7-6700K,5.99398,91,4,4.2,4,8,2015
Intel Xeon CPU E5-2690 v3,6.45207,135,2.6,N/A,12,24,2014
Intel Xeon CPU E5-2690 v3 @ 2.60GHz,6.45207,135,2.6,N/A,12,24,2014
Intel Core i7-6850K,6.52671,140,3.6,3.8,6,12,2016
Intel Core i7-7700K,6.84783,91,4.2,4.5,4,8,2017
AMD Ryzen 7 1700X,7.11365,95,3.4,3.8,8,16,2017
,7.45682,,,,,,
AMD Ryzen Threadripper 1950X,7.85797,180,3.4,4,16,32,2017
AMD Ryzen Threadripper 1950X 16-Core Processor,7.85797,180,3.4,4,16,32,2017
Intel Core i7-8700K CPU @ 3.70GHz,8.06014,95,3.7,4.7,6,12,2017
Intel Xeon W-2123,8.44741,120,3.6,N/A,4,8,2017
Genuine Intel CPU 0000 @ 2.20GHz,8.5,220,2.2,N/A,14,28,2015
AMD Ryzen Threadripper 2920X,9.12431,180,3.5,4.3,12,24,2018
AMD Ryzen Threadripper 2920X 12-Core Processor,9.12431,180,3.5,4.3,12,24,2018
Intel Xeon CPU E5-2690 v4,9.35345,135,2.6,N/A,14,28,2016
Intel Xeon CPU E5-2696 v4 @ 2.20GHz,9.35345,145,2.2,N/A,22,44,2016
Intel Xeon CPU E5-2699 v4 @ 2.20GHz,10,145,2.2,N/A,22,44,2016
Intel Core i9-10920X,10.0528,165,3.5,4.8,12,24,2019
Intel Core i9-10900X CPU @ 3.70GHz,10.0528,165,3.7,4.7,10,20,2019
Intel Core i9-9900K,10.1165,95,3.6,5,8,16,2018
Intel Xeon CPU E31270 @ 3.40GHz,10.2389,80,3.4,N/A,4,8,2011
Intel Xeon CPU E5-2697 v2,10.7668,130,2.7,N/A,12,24,2013
AMD EPYC 7543 32-Core Processor,13.6915,225,2.8,3.7,32,64,2021
AMD EPYC 7513 32-Core Processor,14.8066,180,2.6,3.65,32,64,2021
AMD Ryzen Threadripper 2990WX,15.2311,250,3,4.2,32,64,2018
AMD Ryzen Threadripper 2990WX 32-Core Processor,15.2311,250,3,4.2,32,64,2018
AMD Ryzen Threadripper 3960X,17.0014,280,3.8,4.5,24,48,2019
AMD Ryzen 9 3950X 16-Core Processor,18.5357,105,3.5,4.7,16,32,2019
AMD Ryzen 9 7950X,18.5357,250,4.6,6,32,64,2022
AMD Ryzen 9 5950X,22.1287,105,3.4,4.9,16,32,2020
AMD Ryzen Threadripper 3970X 32-Core Processor,22.7544,280,3.7,4.5,32,64,2019
AMD Ryzen Threadripper 3990X 64-Core Processor,36.7929,280,2.9,4.3,64,128,2020
,,,,,,,
