GPU name,GPU Weight,GPU TDP,VRAM,CUDA Cores,GPU Base Clock,GPU Boost Clock,GPU Architecture
NVIDIA Quadro K600,1.00048,41,1 GB DDR3,192,1.00 GHz,1.12 GHz,Kepler
NVIDIA GeForce GTX 1050 Ti,2.19773,75,4 GB GDDR5,768,1.29 GHz,1.39 GHz,Pascal
NVIDIA GeForce GTX 960,2.36719,120,2 GB GDDR5,"1,024",1.12 GHz,1.18 GHz,Maxwell
NVIDIA Quadro P2200,2.8135,75,5 GB GDDR5X,"1,280",1.00 GHz,1.46 GHz,Pascal
NVIDIA GeForce GTX 970,2.8973,148,8 GB GDDR5,"1,280",1.05 Ghz,1.17 GHz,Maxwell
NVIDIA GeForce GTX 1060 6GB,3.41372,120,6 GB GDDR5,"1,280",1.51 GHz,1.70 Ghz,Pascal
NVIDIA GeForce GTX 1660,4.03159,130,6 GB GDDR5,"1,408",1.53 GHz,1.78 GHz,Turing
NVIDIA GeForce GTX 1060 3GB,4.2721,120,3 GB GDDR5,"1,152",1.51 GHz,1.71 GHz,Pascal
NVIDIA GeForce GTX 1070,4.68678,150,8 GB GDDR5,"1,920",1.51 GHz,1.61 GHz,Pascal
NVIDIA GeForce RTX 2060,4.91841,160,6 GB GDDR6,"1,920",1.36 GHz,1.68 GHz,Turing
NVIDIA GeForce GTX 980 Ti,5.0364,250,6 GB GDDR5,"2,816",1.00 GHz,1.07 GHz,Maxwell
NVIDIA GeForce GTX 1080,5.55657,180,8 GB GDDR5X,"2,560",1.61 GHz,1.73 GHz,Pascal
NVIDIA GeForce GTX 1070 Ti,5.56912,180,8 GB GDDR5,"2,432",1.60 GHz,1.68 GHz,Pascal
NVIDIA GeForce RTX 2060 SUPER,5.99303,175,8 GB GDDR6,"2,176",1.47 GHz,1.65 GHz,Turing
NVIDIA GeForce RTX 2080,6.45112,215,8 GB GDDR6,"2,944",1.51 GHz,1.80 GHz,Turing
NVIDIA GeForce RTX 2070 SUPER,6.52576,215,8 GB GDDR6,"2,560",1.61 GHz,1.77 GHz,Turing
NVIDIA GeForce RTX 2080 SUPER,6.84688,250,8 GB GDDR6,"3,072",1.65 GHz,1.81 Ghz,Turing
NVIDIA Quadro RTX 4000,7.4575,160,8 GB GDDR6,"2,304",1.00 GHz,1.54 GHz,Turing
NVIDIA GeForce GTX 1080 Ti,7.85607,250,11 GB GDDR5X,"3,584",1.48 GHz,1.58 GHz,Pascal
NVIDIA GeForce RTX 3060,9.0151,170,12 GB GDDR6,"3,584",1.32 Ghz,1.77 GHz,Ampere
NVIDIA RTX A4000,10.1165,140,16 GB GDDR6,"6,144",1.00 GHz,1.56 GHz,Ampere
NVIDIA GeForce RTX 2080 Ti,10.7649,250,11 GB GDDR6,"4,352",1.35 GHz,1.63 GHz,Turing
NVIDIA GeForce RTX 4070,12.0961,225,12 GB GDDR6,"5,888",1.92 GHz,2.48 GHz,Ada Lovelace
NVIDIA GeForce RTX 3070,13.2846,220,8 GB GDDR6,"5,888",1.50 GHz,1.73 GHz,Ampere
NVIDIA GeForce RTX 3070 Ti,14.8047,290,8 GB GDDR6X,"6,144",1.58 GHz,1.77 GHz,Ampere
NVIDIA GeForce RTX 3080,15.2244,320,10 GB GDDR6X,"8,704",1.44 GHz,1.71 GHz,Ampere
NVIDIA GeForce RTX 4070 Ti,15.2311,285 W,12 GB GDDR6X,"7,680",2.31 GHz,2.61 GHz,Ada Lovelace
NVIDIA GeForce RTX 3090 Ti,18.5,450 W,24 GB GDDR6X,"10,752",1.56 GHz,1.86 GHz,Ampere
NVIDIA GeForce RTX 3090,18.5357,350,24 GB GDDR6X,"10,496",1.40 GHz,1.70 GHz,Ampere
NVIDIA GeForce RTX 3080 Ti,22.125,320,12 GB GDDR6X,"10,240",1.37 GHz,1.67 GHz,Ampere
NVIDIA GeForce RTX 4090,23.7967,450,24 GB GDDR6X,"16,384",2.23 GHz,2.52 GHz,Ada Lovelace
NVIDIA Quadro K2000,nan,51,2 GB GDDR5,384,1.00 GHz,1.12 GHz,Kepler
,,,,,,,
