Location,AD Name,Distinguished name,Disabled,Workstation,IP Address,OS,Hardware Specs,Computer Manufacturer,Manufacturer,Model,Tier,Weighted Score,CPU Weighted Score,GPU Weighted Score,Total GPU Weight,GPUs from PDQ,Primary GPU,GPU1,GPU2,GPU3,GPU4,GPU 5,NIC,Software,Status,Assigned To,Assignment Start Time,Last Seen,Parsec Connection Status,Current Parsec User Text 3 1,OU,Policy Assignments
LAX,EDIT-LA-02,"CN=EDIT-LA-02,OU=To Rebuild,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.53,Windows 10 Enterprise,AMD Ryzen Threadripper 2990WX 32-Core Processor | 32 cores | 64 GB GB RAM |NVIDIA GeForce RTX 2080,"Gigabyte Technology Co., Ltd.",Custom Pc,X399 AORUS XTREME,Tier 3,17.213859999999997,15.2311,6.45112,18.5357,NVIDIA GeForce RTX 2080,NVIDIA GeForce RTX 2080,NVIDIA GeForce RTX 2080,,,,,,,,,,,,,,
LAX,EDIT-LA-03,"CN=EDIT-LA-03,OU=To Rebuild,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.97.25,Windows 10 Enterprise,AMD Ryzen Threadripper 2990WX 32-Core Processor | 32 cores | 64 GB GB RAM |NVIDIA GeForce RTX 2080,"Gigabyte Technology Co., Ltd.",Custom Pc,X399 AORUS XTREME,Tier 3,17.213859999999997,15.2311,6.45112,18.5357,NVIDIA GeForce RTX 2080,NVIDIA GeForce RTX 2080,NVIDIA GeForce RTX 2080,,,,,,,,,,,,,,
LAX,NEGPU-04,"CN=NEGPU-04,OU=NYC-Workstation,OU=NYC,OU=BuckComputers,DC=buck,DC=local",false,true,,Windows 11 Pro," |  cores |  GB RAM |",,Custom Pc,TRX40 AORUS XTREME,Tier 4,,"7.45682,",,18.5357,,,,,,,,,,,,,,,,,
LAX,RENT-LA-40,"CN=RENT-LA-40,OU=To Rebuild,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.29,Windows 10 Pro,AMD Ryzen Threadripper 3970X 32-Core Processor | 32 cores | 64 GB GB RAM |NVIDIA GeForce GTX 1080 Ti,"Gigabyte Technology Co., Ltd.",Custom Pc,TRX40 AORUS XTREME,Tier 3,20.22318,22.7544,7.85607,18.5357,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,,,,,,,,,,,,,,
LAX,WS001-LAXHQ,"CN=WS001-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.97.47,Windows 10 Pro,AMD Ryzen 9 3950X 16-Core Processor | 16 cores | 64 GB GB RAM |NVIDIA GeForce RTX 2060 SUPER,"Gigabyte Technology Co., Ltd.",Custom Pc,X570 AORUS MASTER,Tier 3,29.65712,18.5357,5.99303,37.0714,"NVIDIA GeForce RTX 2060 SUPER,  NVIDIA RTX A2000 12GB",NVIDIA GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 2060 SUPER,"  NVIDIA RTX A2000 12GB",,,,,,,,,,,,,
LAX,WS003-LAXHQ,"CN=WS003-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.3,Windows 10 Pro,AMD Ryzen 9 3950X 16-Core Processor | 16 cores | 64 GB GB RAM |NVIDIA GeForce RTX 3080,"Gigabyte Technology Co., Ltd.",Custom Pc,X570 AORUS MASTER,Tier 3,18.5357,18.5357,15.2244,18.5357,NVIDIA GeForce RTX 3080,NVIDIA GeForce RTX 3080,NVIDIA GeForce RTX 3080,,,,,,,,,,,,,,
LAX,WS004-LAXHQ,"CN=WS004-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.4,Windows 10 Pro,AMD Ryzen 9 3950X 16-Core Processor | 16 cores | 64 GB GB RAM |NVIDIA GeForce RTX 2060 SUPER,"Gigabyte Technology Co., Ltd.",Custom Pc,X570 AORUS MASTER,Tier 3,29.65712,18.5357,5.99303,37.0714,"NVIDIA GeForce RTX 2060 SUPER,  NVIDIA RTX A2000 12GB",NVIDIA GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 2060 SUPER,"  NVIDIA RTX A2000 12GB",,,,,,,,,,,,,
LAX,WS010-LAXHQ,"CN=WS010-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.10,Windows 10 Pro,AMD Ryzen 9 3950X 16-Core Processor | 16 cores | 64 GB GB RAM |NVIDIA GeForce RTX 2060 SUPER,"Gigabyte Technology Co., Ltd.",Custom Pc,X570 AORUS MASTER,Tier 3,18.5357,18.5357,5.99303,18.5357,NVIDIA GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 2060 SUPER,,,,,,,,,,,,,,
LAX,WS017-LAXHQ,"CN=WS017-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.97.10,Windows 10 Pro,AMD Ryzen Threadripper 3970X 32-Core Processor | 32 cores | 128 GB GB RAM |NVIDIA GeForce RTX 4070 Ti,"Gigabyte Technology Co., Ltd.",Custom Pc,TRX40 AORUS MASTER,Tier 3,20.22318,22.7544,15.2311,18.5357,NVIDIA GeForce RTX 4070 Ti,NVIDIA GeForce RTX 4070 Ti,NVIDIA GeForce RTX 4070 Ti,,,,,,,,,,,,,,
LAX,WS018-LAXHQ,"CN=WS018-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.18,Windows 10 Pro,AMD Ryzen Threadripper 1920X 12-Core Processor | 12 cores | 32 GB GB RAM |NVIDIA GeForce GTX 1070 Ti,"Gigabyte Technology Co., Ltd.",Custom Pc,X399 AORUS XTREME,Tier 4,13.349488,5.57017,5.56912,18.5357,NVIDIA GeForce GTX 1070 Ti,NVIDIA GeForce GTX 1070 Ti,NVIDIA GeForce GTX 1070 Ti,,,,,,,,,,,,,,
LAX,WS020-LAXHQ,"CN=WS020-LAXHQ,OU=LAX-Workstation,OU=LAX,OU=BuckComputers,DC=buck,DC=local",false,true,10.96.98.20,Windows 10 Pro,AMD Ryzen Threadripper 3970X 32-Core Processor | 32 cores | 64 GB GB RAM |NVIDIA GeForce RTX 4090,"Gigabyte Technology Co., Ltd.",Custom Pc,TRX40 AORUS MASTER,Tier 3,20.22318,22.7544,23.7967,18.5357,NVIDIA GeForce RTX 4090,NVIDIA GeForce RTX 4090,NVIDIA GeForce RTX 4090,,,,,,,,,,,,,,
